Thread,Block,Number of step,Seed,Test kerkel,"Mean of result of Test kernel
in float_st (MoT)","Significant digits
of MoT",Reference kernel,"Mean of result of Reference kernel 
in double_st (MoR)","Significant digits 
of MoR","Mean of absolute error of 
two kernel results in double_st (MEAN)","Significant digits
of MEAN","Similar Representation Part 
of MoR and MoT (SRP)","Number of Similar Digits
in fractional part of MoR and MoT 
without exponent (NSD)"
128,128,1,7,6,0.27293E+003,5,8,0.272936606664996E+003,15,0.425398805759868E-003,15,0.27293,5
128,128,1,8,6,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.390856218473345E-003,15,-0.22657,5
128,128,1,9,6,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.417430688685271E-003,15,-0.96375,5
128,128,1,10,6,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.306638902344502E-003,15,-0.10327,5
128,128,N,1,6,0.14157E+003,5,8,0.141572039192122E+003,15,0.419710872535006E-003,15,0.14157,5
128,128,N,2,6,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.434399945035579E-003,15,-0.94449,5
128,128,N,3,6,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.418706718235739E-003,15,-0.12072,5
128,128,N,4,6,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.412251877909497E-003,15,-0.1307,4
128,128,N,5,6,0.12862E+003,5,8,0.128627720266937E+003,15,0.443388661835797E-003,15,0.12862,5
128,128,N,6,6,0.15766E+003,5,8,0.157668878098455E+003,15,0.433424982247743E-003,15,0.15766,5
128,128,N,7,6,0.27293E+003,5,8,0.272934585153896E+003,15,0.412404697271995E-003,15,0.27293,5
128,128,N,8,6,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.428570338669942E-003,15,-0.22657,5
128,128,N,9,6,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.420063656434876E-003,15,-0.96378,5
128,128,N,10,6,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.338690744683844E-003,15,-0.10327,5
256,64,1,1,6,0.14157E+003,5,8,0.141574384913979E+003,15,0.454360108676610E-003,15,0.14157,5
256,64,1,2,6,-0.94451E+002,5,8,-0.944515437528662E+002,15,0.402395444325520E-003,15,-0.94451,5
256,64,1,3,6,-0.12072E+003,5,8,-0.120726427593710E+003,15,0.424582642764903E-003,15,-0.12072,5
256,64,1,4,6,-0.1308E+002,4,8,-0.130821606731842E+002,15,0.437142097021947E-003,15,-0.1308,4
256,64,1,5,6,0.12863E+003,5,8,0.128629984260314E+003,15,0.427523539372032E-003,15,0.1286,4
256,64,1,6,6,0.15766E+003,5,8,0.157666582364970E+003,15,0.419995055978006E-003,15,0.15766,5
256,64,1,7,6,0.27293E+003,5,8,0.272936606664996E+003,15,0.445743857824254E-003,15,0.27293,5
256,64,1,8,6,-0.22657E+003,5,8,-0.226574426500749E+003,15,0.390856218473345E-003,15,-0.22657,5
256,64,1,9,6,-0.96375E+002,5,8,-0.963759972646730E+002,15,0.447948266810271E-003,15,-0.96375,5
256,64,1,10,6,-0.10327E+003,5,8,-0.103273154132391E+003,15,0.428709214844502E-003,15,-0.10327,5
256,64,N,1,6,0.14157E+003,5,8,0.141572039192122E+003,15,0.419710872535006E-003,15,0.14157,5
256,64,N,2,6,-0.94449E+002,5,8,-0.944495209071064E+002,15,0.424227418989175E-003,15,-0.94449,5
256,64,N,3,6,-0.12072E+003,5,8,-0.120728547775728E+003,15,0.428879244282143E-003,15,-0.12072,5
256,64,N,4,6,-0.1307E+002,4,8,-0.130798596802633E+002,15,0.430053798481822E-003,15,-0.1307,4
256,64,N,5,6,0.12862E+003,5,8,0.128627720266937E+003,15,0.412871083710797E-003,15,0.12862,5
256,64,N,6,6,0.15766E+003,5,8,0.157668878098455E+003,15,0.433424982247743E-003,15,0.15766,5
256,64,N,7,6,0.27293E+003,5,8,0.272934585153896E+003,15,0.432749749336380E-003,15,0.27293,5
256,64,N,8,6,-0.22657E+003,5,8,-0.226571982118515E+003,15,0.428570338669942E-003,15,-0.22657,5
256,64,N,9,6,-0.96378E+002,5,8,-0.963788888950366E+002,15,0.420063656434876E-003,15,-0.96378,5
256,64,N,10,6,-0.10327E+003,5,8,-0.103270968573557E+003,15,0.430243479058844E-003,15,-0.10327,5
